function,dim,F,CR,mode,best_fitness,iteration
function 1,10,0.0,0.0,normal,123022873284.20274,1
function 1,10,0.0,0.0,PSR,56283082196.99855,1
function 1,10,0.0,0.0,MSR,101106221184.16762,1
function 1,10,0.0,0.1,normal,845980776.4694403,1
function 1,10,0.0,0.1,PSR,156323504.6295216,1
function 1,10,0.0,0.1,MSR,646529977.587307,1
function 1,10,0.0,0.2,normal,57229959.84538214,1
function 1,10,0.0,0.2,PSR,47086829.806514844,1
function 1,10,0.0,0.2,MSR,34632850.49672215,1
function 1,10,0.0,0.3,normal,2575876042.0496874,1
function 1,10,0.0,0.3,PSR,48072649.37415743,1
function 1,10,0.0,0.3,MSR,4175781.8183664624,1
function 1,10,0.0,0.4,normal,814495221.3952985,1
function 1,10,0.0,0.4,PSR,5239329.602919262,1
function 1,10,0.0,0.4,MSR,2429278.929672228,1
function 1,10,0.0,0.5,normal,1735906854.4851806,1
function 1,10,0.0,0.5,PSR,1256871.710584797,1
function 1,10,0.0,0.5,MSR,230388.64556308085,1
function 1,10,0.0,0.6,normal,1115891793.9609897,1
function 1,10,0.0,0.6,PSR,2334759.919351057,1
function 1,10,0.0,0.6,MSR,1599364.5829880815,1
function 1,10,0.0,0.7,normal,6686771743.080786,1
function 1,10,0.0,0.7,PSR,261894712.07829854,1
function 1,10,0.0,0.7,MSR,327887.1613336809,1
function 1,10,0.0,0.8,normal,5649161056.6262245,1
function 1,10,0.0,0.8,PSR,131462.11837502988,1
function 1,10,0.0,0.8,MSR,913979.9618716096,1
function 1,10,0.0,0.9,normal,8797725676.104965,1
function 1,10,0.0,0.9,PSR,1738436.9097587587,1
function 1,10,0.0,0.9,MSR,1205313833.6297305,1
function 1,10,0.0,1.0,normal,112670426959.10036,1
function 1,10,0.0,1.0,PSR,76664860271.88646,1
function 1,10,0.0,1.0,MSR,63858001790.32639,1
function 1,10,0.1,0.0,normal,155222887556.6989,1
function 1,10,0.1,0.0,PSR,161442260690.48148,1
function 1,10,0.1,0.0,MSR,124592545519.45073,1
function 1,10,0.1,0.1,normal,164690691.72260627,1
function 1,10,0.1,0.1,PSR,1152971581.1698442,1
function 1,10,0.1,0.1,MSR,585933341.7204748,1
function 1,10,0.1,0.2,normal,34036913.217335485,1
function 1,10,0.1,0.2,PSR,79233698.64149013,1
function 1,10,0.1,0.2,MSR,60260071.66360588,1
function 1,10,0.1,0.3,normal,6956269.080212815,1
function 1,10,0.1,0.3,PSR,14192593.306512253,1
function 1,10,0.1,0.3,MSR,9564314.014939278,1
function 1,10,0.1,0.4,normal,25897533.146098297,1
function 1,10,0.1,0.4,PSR,6671914.676278439,1
function 1,10,0.1,0.4,MSR,4336324.717979653,1
function 1,10,0.1,0.5,normal,5351065.030829106,1
function 1,10,0.1,0.5,PSR,512835.2154332521,1
function 1,10,0.1,0.5,MSR,7436210.118028192,1
function 1,10,0.1,0.6,normal,90338.83422084637,1
function 1,10,0.1,0.6,PSR,23540939.24886153,1
function 1,10,0.1,0.6,MSR,53472.00757574736,1
function 1,10,0.1,0.7,normal,12951.16962687157,1
function 1,10,0.1,0.7,PSR,187166.13277511878,1
